wavelength	drop1	drop2	drop3	drop4	drop5	drop6	drop7	drop8	through
1543.90000000	0.00744960	0.00736210	0.00732461	0.00734961	0.00721472	0.00722474	0.00713912	0.00719874	0.68604891
1544.00000000	0.00743364	0.00740246	0.00735881	0.00737128	0.00721787	0.00721936	0.00714278	0.00721824	0.68944117
1544.10000000	0.00741621	0.00744111	0.00738507	0.00737262	0.00721726	0.00723787	0.00715269	0.00722492	0.68163991
1544.20000000	0.00754245	0.00742421	0.00738687	0.00736820	0.00720940	0.00725631	0.00715686	0.00721697	0.66154662
1544.30000000	0.00760888	0.00747813	0.00742831	0.00741586	0.00723176	0.00728548	0.00727863	0.00731038	0.70118464
1544.40000000	0.00758010	0.00750523	0.00746156	0.00748652	0.00732140	0.00732793	0.00727714	0.00732493	0.68922023
1544.50000000	0.00765135	0.00758247	0.00755117	0.00754490	0.00737950	0.00740453	0.00734254	0.00739426	0.69740813
1544.60000000	0.00782421	0.00764167	0.00758502	0.00757243	0.00742377	0.00744351	0.00741796	0.00746013	0.69451384
1544.70000000	0.00787215	0.00774548	0.00769482	0.00773282	0.00750757	0.00756245	0.00751305	0.00754067	0.70171600
1544.80000000	0.00791774	0.00780308	0.00777760	0.00779034	0.00757281	0.00758154	0.00757326	0.00762205	0.70915293
1544.90000000	0.00800926	0.00787492	0.00778536	0.00781734	0.00763524	0.00765012	0.00762760	0.00765537	0.69366191
1545.00000000	0.00815666	0.00788755	0.00788755	0.00795162	0.00770963	0.00778439	0.00769007	0.00771967	0.70227843
1545.10000000	0.00809051	0.00786666	0.00782189	0.00791143	0.00767500	0.00773670	0.00765151	0.00768119	0.67600388
1545.20000000	0.00801043	0.00786398	0.00780667	0.00782577	0.00761946	0.00766875	0.00767995	0.00770899	0.67892981
1545.30000000	0.00795251	0.00783221	0.00780055	0.00782587	0.00762221	0.00766518	0.00765163	0.00771431	0.65255534
1545.40000000	0.00805241	0.00790131	0.00782576	0.00792650	0.00761789	0.00774329	0.00766811	0.00776671	0.67089037
1545.50000000	0.00797935	0.00789787	0.00784772	0.00792294	0.00765999	0.00775357	0.00768237	0.00775734	0.65610128
1545.60000000	0.00798043	0.00791788	0.00788036	0.00793665	0.00768345	0.00774702	0.00773851	0.00771625	0.65887363
1545.70000000	0.00808501	0.00800372	0.00802248	0.00809126	0.00785699	0.00790455	0.00787229	0.00790005	0.67652804
1545.80000000	0.00808325	0.00805821	0.00797055	0.00805194	0.00780358	0.00790130	0.00784946	0.00785885	0.64554796
1545.90000000	0.00816562	0.00817190	0.00807148	0.00814679	0.00785797	0.00796315	0.00792875	0.00798511	0.66489062
1546.00000000	0.00826622	0.00821586	0.00820956	0.00824733	0.00799823	0.00807936	0.00806728	0.00807886	0.65502664
1546.10000000	0.00846401	0.00832505	0.00827452	0.00831242	0.00805481	0.00813189	0.00817144	0.00813215	0.67215399
1546.20000000	0.00852349	0.00840308	0.00835872	0.00846012	0.00818001	0.00821005	0.00828420	0.00827000	0.67019149
1546.30000000	0.00861322	0.00848609	0.00842888	0.00848609	0.00821816	0.00827289	0.00832145	0.00832095	0.66284889
1546.40000000	0.00879542	0.00855960	0.00864246	0.00871257	0.00840749	0.00848694	0.00849969	0.00848261	0.67770751
1546.50000000	0.00891550	0.00862172	0.00862172	0.00865365	0.00835721	0.00844034	0.00846780	0.00844916	0.64852500
1546.60000000	0.00895231	0.00876047	0.00876047	0.00881802	0.00855585	0.00859025	0.00866711	0.00866865	0.67821959
1546.70000000	0.00904668	0.00886114	0.00875238	0.00882276	0.00852365	0.00856965	0.00871207	0.00863043	0.66462523
1546.80000000	0.00917387	0.00890518	0.00890518	0.00893717	0.00860067	0.00867475	0.00880295	0.00878926	0.67295529
1546.90000000	0.00929623	0.00891901	0.00891901	0.00898934	0.00860573	0.00875329	0.00883961	0.00877350	0.63948736
1547.00000000	0.00930597	0.00896107	0.00904410	0.00905688	0.00868281	0.00876103	0.00899454	0.00890563	0.66401535
